id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1015,002766,索菱股份,0.41,-12.77,,8.42,,6526.36,1.17,,04-26
1016,600476,湘邮科技,-0.25,-644.44,,-18.74,,-3952.98,-647.79,,04-26
1017,600851,海欣股份,0.13,-45.89,,3.17,,15743.01,-45.89,10派0.7,04-26
1018,300279,和晶科技,0.18,-7.67,,4.08,,2402.9,1.48,,04-26
1019,000070,特发信息,0.33,63.29,,8.03,,9194.19,65.4,10派0.3,04-26
1020,600550,保变电气,0.06,20.41,,14.92,,9065.11,33.89,,04-26
1021,300005,探路者,0.51,-10.78,,19.9,,26339.62,-10.5,,04-26
1022,002263,大东南,0.02,0.0,,0.54,,1530.25,32.19,10派0.3转10,04-26
1023,300091,金通灵,0.16,138.81,,4.03,,3327.4,138.11,,04-26
1024,300123,太阳鸟,0.05,-37.5,,1.46,,1348.39,-39.06,,04-26
1025,601677,明泰铝业,0.42,-4.55,,6.15,,17296.61,-2.54,10派1.1,04-26
1026,300446,乐凯新材,1.75,4.79,,28.49,,9871.9,28.38,10派6转10,04-26
1027,300463,迈克生物,1.47,-3.29,,17.18,,25104.36,10.98,,04-26
1028,300155,安居宝,0.06,-73.91,,3.12,,3516.27,-57.51,,04-26
1029,002444,巨星科技,0.47,-6.0,,12.0,,47987.03,-5.52,,04-26
1030,300220,金运激光,-0.12,-237.85,,-5.22,,-1486.8,-318.98,,04-26
1031,300252,金信诺,0.34,-33.33,,17.94,,13853.66,66.14,,04-26
1032,600123,兰花科创,0.01,-79.49,,0.14,,1372.55,-79.45,10派1,04-26
1033,600143,金发科技,0.28,47.37,,8.77,,71171.53,42.81,10派1,04-26
1034,002573,清新环境,0.48,-6.24,,19.52,,50731.77,87.49,,04-26
1035,601015,陕西黑猫,-0.45,-221.62,,-10.57,,-28092.82,-246.84,10转5,04-26
1036,002337,赛象科技,-0.17,-165.38,,-7.93,,-9883.69,-295.13,,04-26
1037,000596,古井贡酒,1.42,19.33,,15.91,,71557.84,19.85,10派1,04-26
1038,000707,双环科技,0.03,53.61,,0.82,,1181.84,53.78,10派0.1,04-26
1039,002759,天际股份,0.69,-14.81,,13.53,,5957.38,2.76,,04-26
1040,000725,京东方A,0.05,-47.13,2.2,2.13,,163627.05,-36.14,10派0.1,04-26
1041,002513,蓝丰生化,-0.32,77.78,,-6.17,,-6876.96,83.56,,04-26
1042,300273,和佳股份,0.14,-64.1,,6.37,,10581.89,-52.57,,04-26
1043,300305,裕兴股份,0.57,22.43,,6.4,,8204.37,22.64,,04-26
1044,300321,同大股份,0.78,18.8,,6.28,,3459.34,18.81,,04-26
1045,300337,银邦股份,-0.23,-251.53,,-11.49,,-18679.03,-435.82,,04-26
1046,600239,云南城投,0.26,-51.85,,6.7,,27864.86,-36.78,,04-26
1047,002631,德尔未来,0.21,-47.5,,9.25,,13721.99,6.4,,04-26
1048,002005,德豪润达,0.01,30.28,,0.36,,1986.21,42.37,,04-26
1049,002037,久联发展,0.25,-62.69,,4.15,,8120.41,-63.08,10派0.5,04-26
1050,002390,信邦制药,0.14,-57.03,,7.07,,17437.94,20.45,,04-26
1051,600743,华远地产,0.4,11.11,,17.73,,73049.71,10.41,10派0.8,04-26
1052,600760,中航黑豹,-0.64,56.1,,-43.39,,-22079.59,55.75,,04-26
1053,002781,奇信股份,0.72,-13.25,,14.02,,13034.79,-12.49,,04-26
1054,600850,华东电脑,0.95,22.64,,22.39,,30620.39,22.64,10派3.5转3,04-26
1055,603116,红蜻蜓,0.79,-15.96,,13.0,,30000.95,-8.43,,04-26
1056,002551,尚荣医疗,0.31,10.71,,9.91,,13606.03,33.19,,04-26
1057,300004,南风股份,0.09,-82.0,,1.47,,4444.42,-59.12,,04-26
1058,600619,海立股份,0.09,-35.71,,2.39,,6844.31,-26.81,10派0.8,04-26
1059,601098,中南传媒,0.94,14.63,,15.64,,169508.51,15.41,,04-26
